Uin,gender,age,device,has_interest_online,interestss_TVShows,interests_Travel,interests_Society,interests_Pets,interests_Natural,interests_Cars,interests_Foods,interests_Music,interests_Digital,interests_Life,interests_Sports,interests_Reading,interests_Childproducts,interests_Fashion,interests_Tech,interests_Entertainment,interests_Health,interests_Cartoon,interests_Finance,interests_Realestate,interests_Videogames,interests_Art,Group
fdff83f974dc990793adc9afb4518406,1,57,2,1,0.0,4.52262694,93.43059759999998,2.045242853,0.0,0.0,0.0,19.59965412,0.0,30.19409077,51.39087524,69.21940116,0.0,0.0,0.0,0.0,19.41228578,0.0,0.0,0.0,0.0,0.0,1
e6e112d7a42649195b0b4e561854a5ed,1,50,2,0,0.0,0.0,62.92050233,0.0,1.924587204,8.983714871,0.0,0.0,0.0,57.637060999999996,0.0,0.0,0.0,0.0,2.8125690160000003,0.0,19.74436268,0.0,0.0,0.0,0.0,0.0,0
886e039b975d53c3003b12b4c07e1e21,1,61,2,0,0.24547424399999998,0.0,9.102931653999999,0.0,0.0,0.289536116,0.0,0.0,0.547430162,4.208459937,0.0,26.75124838,0.0,0.0,0.0,0.0,3.278353193,0.0,0.901000468,0.0,0.0,0.0,2
126ed52cb2c543d9f48d9f06342e68ee,2,29,2,0,0.0,6.550350295,0.91846678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6369110830000002,0.0,0.633488423,0.0,0.0,0.0,0.0,1.4386045490000001,0.0,0
37eec4fa9315231ac34e248365d00653,2,66,2,0,0.0,1.6667675030000002,5.768183502,0.0,0.0,0.0,1.681660919,16.35471045,0.0,1.7118749640000002,0.0,0.834942354,0.0,4.568729418,0.0,34.10415613,46.20560931,0.0,0.0,0.0,2.52901353,0.0,1
a20956599c8726e9f640f8d54c4a1206,1,52,2,0,0.0,0.0,50.03621603,0.0,0.0,2.419961567,0.0,0.74824697,0.0,63.36289263,0.0,1.213921059,0.0,0.0,0.0,0.0,8.908706542000001,0.0,0.0,0.0,0.0,0.0,1
66b8e08ced3a9903f85b7b7444947050,1,57,2,0,1.259039629,1.093964097,62.34027776,0.0,0.0,0.0,2.525375174,0.0,0.0,15.74259257,0.0,0.8369400229999999,0.0,0.0,1.7492918069999999,0.0,1.885634246,0.0,4.93707214,0.0,0.0,1.9148170359999999,2
6489fa4d8c88cdc3cf46879884f669b9,1,50,1,1,0.793894137,0.0,26.31798468,0.0,0.0,1.192448863,0.0,0.0,0.0,13.04831545,0.0,5.219803945,0.0,0.0,1.4583954140000002,0.0,4.329525541000001,0.0,0.0,0.936638167,0.0,0.731384059,1
8a76db60f4037e5fd6705135609c84b5,1,60,2,1,0.0,0.0,0.140677289,0.0,0.0,0.0,1.0324275809999999,5.987025553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821920456,0.0,0.0,0.0,0.0,0.0,0
f85790cc7834f5c0e44f0ee7b3c9f2a,2,42,2,0,0.0,1.26786741,5.218219744,0.0,0.0,0.0,0.0,11.32702191,0.0,1.0227589990000001,0.0,0.30752702600000004,0.0,0.0,0.0,0.0,5.373570693,0.0,0.0,0.0,0.0,0.0,1
