user,adid,expid,if_click
256458,5b2ae85128137e449eb015f6de78add5,1,0
385878,ea875acb76e0a806a7837174528f62d9,0,0
583144,5b2ae85128137e449eb015f6de78add5,1,0
138050,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
296646,5b2ae85128137e449eb015f6de78add5,1,0
689631,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
526467,bcf3ad5ca68792826b1792aaf3a2d630,1,0
588560,5b2ae85128137e449eb015f6de78add5,0,1
471828,ea875acb76e0a806a7837174528f62d9,1,0
914212,0d82161270febc99f7defb653e339113,0,0
306015,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
559174,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
557537,1f1fe825014d9e9a0881233d9950bd43,0,0
80846,976aabce935794606f1ba9abd0f04ace,1,0
270638,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
305570,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
361936,97fc187415fe1785d5ee02bfd348968e,0,0
390522,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
977899,0d82161270febc99f7defb653e339113,1,0
609918,5b2ae85128137e449eb015f6de78add5,1,0
923398,1f1fe825014d9e9a0881233d9950bd43,1,0
39925,4b1e5c31834e0fd5a30640d96ad20a6f,0,0
480428,ea875acb76e0a806a7837174528f62d9,1,0
964169,0d82161270febc99f7defb653e339113,0,0
627830,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
581724,5b2ae85128137e449eb015f6de78add5,1,0
914274,1f1fe825014d9e9a0881233d9950bd43,1,0
198489,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
652243,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
663087,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
944696,0d82161270febc99f7defb653e339113,0,0
816050,97fc187415fe1785d5ee02bfd348968e,1,0
921402,5b2ae85128137e449eb015f6de78add5,1,0
667994,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
550763,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
662866,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
187635,1f1fe825014d9e9a0881233d9950bd43,0,0
770564,0d82161270febc99f7defb653e339113,0,0
537602,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
120623,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
730734,5b2ae85128137e449eb015f6de78add5,1,0
703891,0d82161270febc99f7defb653e339113,1,0
557311,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
111015,ea875acb76e0a806a7837174528f62d9,1,0
869067,bcf3ad5ca68792826b1792aaf3a2d630,0,0
