user,click,like,age,gender,friend_cnt,sns_like_cnt,sns_comment_cnt,pre_click,treat
439,0,0,28,1,225,80,72,0,1
440,0,0,35,2,277,61,62,0,1
442,0,0,31,1,297,46,35,0,0
443,0,1,25,2,687,97,106,0,1
444,0,0,28,1,352,54,48,0,1
445,0,0,20,1,410,79,138,0,0
446,0,0,20,2,126,61,66,0,0
447,0,0,41,2,680,183,204,1,1
449,0,0,23,2,675,200,380,0,0
451,0,0,24,2,257,145,88,0,0
452,0,0,29,2,161,52,83,0,1
453,0,0,33,1,1524,1045,1350,0,0
454,0,0,25,2,144,46,105,0,1
455,0,0,34,1,290,188,188,0,1
456,0,0,37,2,571,6,47,0,0
457,0,0,24,2,107,33,56,0,1
458,0,0,35,1,464,43,248,0,1
459,0,0,37,1,367,65,92,0,0
461,0,0,29,2,402,480,376,0,0
462,0,0,21,1,203,74,188,0,0
463,0,0,20,2,169,15,21,1,0
464,0,0,28,1,429,123,168,0,1
465,0,0,18,2,219,266,767,0,1
466,0,0,30,2,258,52,254,0,1
467,0,0,27,2,229,52,123,0,1
468,0,0,23,2,286,38,91,0,1
469,0,0,21,1,162,15,78,0,1
470,0,0,26,2,251,82,119,0,1
471,0,0,33,2,225,107,122,0,0
472,0,0,20,1,241,17,44,0,0
473,0,0,26,2,254,84,359,0,1
474,0,0,23,2,400,117,123,0,0
475,0,0,19,2,373,209,319,0,1
477,0,0,31,2,164,54,110,0,1
480,0,0,24,1,761,224,1631,0,1
482,0,0,33,2,248,155,193,0,0
484,0,0,21,1,188,39,106,0,0
487,0,0,28,1,534,118,593,0,1
490,0,0,20,1,812,314,875,0,1
493,0,0,17,1,321,55,29,0,1
495,0,0,30,1,323,163,257,0,0
496,0,0,23,2,1177,2381,2270,0,0
497,0,0,38,2,362,93,147,0,0
498,0,0,29,2,784,101,861,0,1
499,0,0,35,2,232,121,352,0,0
500,0,0,37,1,318,61,15,0,1
501,0,0,32,1,140,24,25,0,0
502,0,0,30,2,144,10,3,0,0
504,0,0,34,2,340,287,270,0,0
505,0,0,31,2,484,64,291,0,1
507,0,0,34,2,292,73,177,0,0
508,0,0,21,2,236,130,199,0,0
509,0,0,25,1,267,49,29,0,1
510,0,0,28,1,219,150,440,0,0
511,0,0,23,2,149,58,45,0,0
512,1,0,44,1,179,46,13,1,0
513,0,0,30,1,701,433,658,0,1
515,0,0,31,1,371,13,42,0,1
516,0,0,24,2,2001,40,96,0,1
517,0,0,22,1,811,93,187,0,0
518,0,0,37,1,252,25,58,0,1
519,0,0,30,1,388,75,70,0,1
521,0,0,22,2,214,86,113,0,1
522,0,0,27,2,314,67,139,0,1
525,0,0,25,1,126,49,35,0,0
526,0,0,22,1,275,21,140,0,0
527,0,0,26,2,346,136,119,1,1
528,0,0,34,2,303,50,23,0,0
529,1,0,32,1,331,73,206,1,0
532,0,0,29,2,143,13,63,0,1
533,0,0,28,2,208,50,90,0,0
534,0,0,34,2,1168,68,52,0,0
535,0,0,43,1,928,160,62,0,0
537,0,0,35,2,200,73,68,0,0
540,0,0,19,2,384,173,144,0,0
541,0,0,30,2,213,55,223,0,0
542,0,0,36,2,197,78,218,0,1
543,0,0,26,2,222,335,427,0,1
544,0,0,34,1,543,103,282,0,1
546,0,0,30,2,433,176,495,0,0
547,0,0,33,1,1229,222,489,0,0
549,0,0,28,1,530,44,83,0,1
551,0,0,31,2,257,87,221,0,0
552,0,0,24,1,451,84,529,0,1
555,0,0,30,2,407,76,128,0,1
556,0,0,40,2,321,93,111,0,1
557,0,0,24,1,273,52,91,0,1
558,0,0,24,2,82,186,62,0,1
559,0,1,28,1,296,47,51,0,0
561,0,0,25,2,155,218,276,0,1
562,0,0,30,2,191,47,150,0,1
565,0,0,27,2,288,106,121,0,1
567,0,0,26,1,174,62,65,0,0
571,0,0,28,1,2672,222,64,0,1
572,0,0,32,2,192,187,422,0,1
574,1,0,39,1,336,38,61,1,0
575,0,0,29,1,223,15,53,0,1
576,0,0,23,1,289,59,298,0,1
578,0,0,18,2,200,158,241,0,0
579,0,0,43,1,126,21,86,0,0
581,0,0,33,1,1032,292,185,0,1
582,0,0,32,2,361,237,395,0,0
583,0,0,29,1,509,56,231,0,0
584,0,0,29,2,395,83,111,0,0
585,1,0,24,1,67,115,218,1,0
586,0,0,35,1,652,30,96,0,1
587,0,0,23,1,293,53,73,0,1
588,1,0,38,2,248,115,202,1,1
589,1,0,30,2,1294,217,181,1,1
590,0,0,20,2,194,126,264,0,1
591,0,0,20,2,549,147,146,0,0
595,0,0,29,2,415,63,46,0,1
598,0,0,36,2,231,33,41,1,0
599,0,0,35,1,113,48,71,0,0
600,0,0,28,2,155,52,289,0,0
601,0,0,24,1,648,63,276,0,1
602,0,0,24,1,399,43,233,0,0
603,0,1,24,2,359,35,70,0,0
604,1,0,29,2,355,36,69,1,0
605,1,0,22,2,1053,121,133,1,0
606,0,0,23,1,178,6,44,0,1
608,0,0,25,2,188,18,43,0,0
611,0,0,23,2,517,18,78,0,0
612,0,0,27,1,4991,49,37,0,1
614,0,0,20,2,723,63,314,0,0
615,0,0,30,2,146,96,135,1,1
616,0,1,19,2,180,96,252,0,0
618,0,0,23,2,608,171,230,0,0
619,0,0,32,1,403,59,67,0,1
620,0,0,32,2,128,42,105,0,0
624,0,0,23,1,371,98,379,0,1
626,0,0,31,1,454,120,83,0,0
628,1,0,26,2,101,66,43,1,1
629,0,0,32,1,700,50,51,0,0
630,0,0,25,2,351,306,516,0,1
